"transaction_counts_id","book_id","times_out","is_indeterminate"
"715","8566","79","0"
"716","7958","78","0"
"717","8601","78","0"
"718","1878","78","0"
"719","3537","78","0"
"720","5009","78","0"
"721","9429","78","0"
"722","5058","78","0"
"723","5444","78","0"
"724","11391","77","0"
"725","6704","77","0"
"726","10256","77","0"
"727","592","77","0"
"728","7177","77","0"
"729","2919","77","0"
"730","5410","77","0"
"731","2012","77","0"
"732","3591","77","0"
"733","6295","77","0"
"734","6812","77","0"
"735","10540","76","0"
"736","3158","76","0"
"737","1131","76","0"
"738","11598","76","1"
"739","4122","76","0"
"740","11136","76","0"
"741","11600","76","1"
"742","6429","76","0"
"743","1359","76","0"
"744","88","76","0"
"745","477","76","0"
"746","8689","76","0"
"747","10645","76","0"
"748","1124","76","0"
"749","5731","76","0"
"750","5875","76","0"
"751","8111","76","0"
"752","6457","76","0"
"753","555","75","0"
"754","10159","75","0"
"755","4331","75","0"
"756","86","75","0"
"757","1223","75","0"
"758","10533","75","0"
"759","6291","75","0"
"760","8578","75","0"
"761","5443","75","0"
"762","5653","75","0"
"763","6713","75","0"
"764","9592","75","0"
"765","6280","75","0"
"766","6072","75","0"
"767","8196","74","0"
"768","3142","74","0"
"769","5564","74","0"
"770","8184","74","0"
"771","380","74","0"
"772","5133","74","0"
"773","7672","74","0"
"774","170","74","0"
"775","5744","74","0"
"776","1022","74","0"
"777","2902","74","0"
"778","9908","74","0"
"779","481","74","0"
"780","5651","74","0"
"781","1758","74","0"
"782","10666","74","0"
"783","3673","74","0"
"784","4839","74","0"
"785","1355","73","0"
"786","10637","73","0"
"787","7811","73","0"
"788","9789","73","0"
"789","6060","73","0"
"790","1748","73","0"
"791","2716","73","0"
"792","2850","73","0"
"793","5746","73","0"
"794","6726","73","0"
"795","2109","73","0"
"796","10664","73","0"
"797","1049","73","0"
"798","937","72","0"
"799","11070","72","0"
"800","8199","72","0"
"801","5275","72","0"
"802","893","72","0"
"803","11060","72","0"
"804","5426","72","0"
"805","467","72","0"
"806","532","72","0"
"807","5093","72","0"
"808","10155","72","0"
"809","10635","72","0"
"810","696","72","0"
"811","5321","71","0"
"812","11663","71","0"
"813","4364","71","0"
"814","5245","71","0"
"815","590","71","0"
"816","4190","71","0"
"817","3520","71","0"
"818","5264","71","0"
"819","11030","71","0"
"820","9349","71","0"
"821","2720","71","0"
"822","5844","71","0"
"823","1870","71","0"
"824","8194","71","0"
"825","649","70","0"
"826","1116","70","0"
"827","9853","70","0"
"828","8024","70","0"
"829","4298","70","0"
"830","9342","70","0"
"831","6720","70","0"
"832","7896","70","0"
"833","3694","70","0"
"834","2846","70","0"
"835","2899","70","0"
"836","9585","70","0"
"837","3968","70","0"
"838","5727","70","0"
"839","5952","70","0"
"840","3891","70","0"
"841","1300","70","0"
"842","5860","70","0"
"843","6278","70","0"
